full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
bikespace/bikespace,bikespace,The BikeSpace app allows cyclists in Toronto to find bike parking and report issues with bicycle parking or areas where bicycle parking is needed.,15,395,JavaScript=951114;TypeScript=254355;Jupyter Notebook=181413;Python=130642;CSS=50333;SCSS=45099;HTML=40850;Makefile=7552;MDX=4778;Dockerfile=2495;Mako=494;Shell=339,JavaScript,2019-02-19T23:46:08+00:00,2026-05-17T13:17:24+00:00,MIT,MIT License,True,,False,False,False,True,False,False,37,32,5,12,True,language:Dockerfile,True,language:Jupyter Notebook,True,Deploy Landing Page Redirect;Deploy Dashboard Redirect;Deploy to Fly.io;Manual publish to cloudflare pages;Test and Preview;Dependabot Updates;Dependency Graph,789,2023-03-04T00:17:31+00:00,2026-05-17T13:17:28+00:00,2026-05-21T17:31:30+00:00,323102
bikespace/parking-map-data,parking-map-data,Data for BikeSpace Toronto parking map,2,192,Jupyter Notebook=11197169;Python=220983,Jupyter Notebook,2023-11-19T00:03:56+00:00,2026-05-03T12:30:16+00:00,,,False,civic-tech;cycling,False,False,False,True,False,False,25,3,1,0,False,,True,language:Jupyter Notebook;dependency:scikit-learn,True,Run Update (Sensor);Test Data Scripts;Test and Preview,0,2023-12-06T02:55:32+00:00,2026-05-03T12:30:20+00:00,2026-05-21T12:15:52+00:00,706361
choruslabs/chorus,chorus,open-source app for large-scale deliberation,11,373,Python=168608;TypeScript=158314;CSS=22696;MDX=11371;JavaScript=9190;Dockerfile=1467;HTML=898;Mako=635;Shell=123,Python,2024-11-27T11:29:20+00:00,2026-04-29T00:28:06+00:00,AGPL-3.0,GNU Affero General Public License v3.0,False,discussion-platform;polis,False,False,False,True,False,False,50,9,1,7,True,language:Dockerfile;file:docker-compose.yml,False,,True,API server test;Frontend build test;CodeQL Advanced;Build and Publish to GitHub Pages;Engine test;Copilot code review;Copilot coding agent;pages-build-deployment,1,2025-10-19T19:49:21+00:00,2026-04-29T00:28:10+00:00,2026-04-29T00:28:06+00:00,4589
civic-dashboard/civic-dashboard-web,civic-dashboard-web,Making Toronto's democracy more accessible.,22,197,TypeScript=1055237;Jupyter Notebook=23100;JavaScript=8704;Shell=4566;CSS=1190,TypeScript,2024-10-31T15:50:24+00:00,2026-05-17T15:13:46+00:00,MIT,MIT License,True,civic-tech;democracy;toronto;toronto-open-data,True,False,False,True,False,True,75,23,1,11,True,file:docker-compose.yml,True,language:Jupyter Notebook,True,Check migrations;Deploy web app;Lint;Migrate database;Notify subscribers;Upload preview deployment;Upload preview deployment manual;Refresh subscription queries;Seed database;Repopulate raw contacts and votes;Update database;CodeQL,43,2024-10-31T15:50:24+00:00,2026-05-20T00:34:21+00:00,2026-05-20T18:32:58+00:00,31401
CivicTechWR/accessible-housing-portal,accessible-housing-portal,"Accessible Housing Portal is CivicTechWR's affordable housing platform, designed to centre the needs of affordable housing seekers. It provides a transparent, accessible entry point for finding listings—addressing gaps in existing platforms that often omit key information or discourage applications from the communities they should serve.",42,3478,TypeScript=635579;CSS=6222;JavaScript=2909;Dockerfile=609,TypeScript,2019-07-18T07:35:34+00:00,2026-05-14T03:58:10+00:00,,,False,,True,True,False,True,False,False,62,1,0,1,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Copilot code review;CI;Copilot cloud agent,906,2026-02-05T00:01:27+00:00,2026-05-14T03:58:15+00:00,2026-05-21T19:05:52+00:00,62333
CivicTechWR/connectedkw,connectedkw,Volunteer-run community guide curating local events and resources for Waterloo Region residents,18,414,HTML=639688;JavaScript=346632;CSS=6940;Python=1920,HTML,2022-11-23T21:15:56+00:00,2025-12-10T05:56:11+00:00,,,False,,False,False,False,False,False,False,0,4,3,2,False,,True,dependency:openai,True,Import the City of Cambridge events on a CRON Schedule;Import Eventbrite events on a CRON Schedule;Import Explore Waterloo events on a CRON Schedule;Import the City of Kitchener events on a CRON Schedule;Import the RoW Museums events on a CRON Schedule;Import the City of Waterloo events on a CRON Schedule;Import WPL events on a CRON Schedule,120,2024-11-07T00:47:00+00:00,2025-12-10T05:57:26+00:00,2025-12-10T05:57:22+00:00,33984
CivicTechWR/go-train-group-pass,go-train-group-pass,GO Train weekday group pass coordination app as an alternative to WhatsApp-based coordination,6,108,TypeScript=183526;JavaScript=897;Shell=38,TypeScript,2025-10-07T20:48:17+00:00,2026-01-28T22:07:58+00:00,,,False,,True,True,False,True,False,True,87,4,0,1,False,,False,,True,Accessibility Audit;Lint and Type Check;Reusable Gitleaks Scan;Security Audit;Copilot coding agent;CodeQL,0,2025-10-12T13:40:57+00:00,2026-04-14T02:57:38+00:00,2026-01-31T04:40:04+00:00,1927
CivicTechWR/project-pech,project-pech,Community platform tracking the Plan to End Chronic Homelessness (PECH) in Waterloo Region by 2030,6,186,TypeScript=707687;CSS=4512;JavaScript=1196,TypeScript,2025-07-03T21:16:41+00:00,2025-12-15T16:42:13+00:00,,,False,,True,True,False,True,False,True,87,0,0,5,False,,False,,False,,203,2025-07-03T21:16:41+00:00,2025-12-15T16:42:18+00:00,2025-12-15T16:46:26+00:00,2266
CivicTechWR/WRVotesPlaceholder,WRVotesPlaceholder,Waterloo Region Votes placehold site for in-between elections,16,2118,Python=47857;Shell=2882;Ruby=1296,Python,2018-03-28T23:45:51+00:00,2026-02-05T00:50:26+00:00,MIT,MIT License,True,,True,True,False,True,False,True,100,0,0,0,False,,False,,True,Deploy Jekyll and Worksheets together;Generate WRV Worksheets;pages-build-deployment,2,2025-10-15T23:52:47+00:00,2026-03-19T21:11:02+00:00,2026-03-31T23:31:31+00:00,24089
civiform/civiform,civiform,"CiviForm simplifies the application process for government benefits programs by re-using applicant data for multiple benefits applications. It's being developed by Google.org and Exygy, in collaboration with the City of Seattle and community contributors.",91,7869,Java=8661382;TypeScript=2007990;HTML=439013;Python=163606;Ruby=107914;Teal=93017;Shell=91176;SCSS=42464;Scala=20313;JavaScript=16973;PLpgSQL=10024;Dockerfile=9710;CSS=5443;Jinja=1938,Java,2021-01-06T01:24:43+00:00,2026-05-21T18:57:03+00:00,Apache-2.0,Apache License 2.0,True,seattle;civic-tech;government;public-interest-technology,True,True,False,True,False,True,100,126,13,93,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Format;CodeQL Advanced;Server - On PR to Main;Skip Server - On PR to Main;Scorecards supply-chain security;Tests;Skip Tests;On Push to Main;Create Release;Build and Push Docker Images;Add New Issues to Project;Env Variable Docs - Validate;Auto Author Assign;Env Variable Docs - Generate;Auto Request Review;Labeler;Build a server image from a branch;Generate SBOM;Run JMeter Test;Scan for Secrets;Dependabot Updates;Codespaces Prebuilds;Copilot coding agent;Translations Context Reminder;Copilot code review;Dependency Graph;Transifex Auto Lock Untranslated Strings;Run Performance Regression Test;Community Contributor Response,0,2021-01-06T01:24:42+00:00,2026-05-21T18:57:18+00:00,2026-05-21T19:48:16+00:00,948987
codeforamerica/asap_pdf,asap_pdf,This app helps you to manage your PDF accessibility audit workflows.,6,605,Ruby=188534;HTML=146758;Python=128742;HCL=57929;JavaScript=32091;Shell=14538;Dockerfile=6260;CSS=2388,Ruby,2025-01-31T21:38:58+00:00,2026-05-11T23:18:35+00:00,Apache-2.0,Apache License 2.0,True,,False,False,False,True,False,True,50,47,7,7,True,language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,CI;CI;Deploy to AWS;AI Evaluation Suite;Tofu Plan;Python Component Linting and Tests;Dependabot Updates,1733,2025-01-31T21:38:33+00:00,2026-05-11T23:18:40+00:00,2026-05-19T23:10:36+00:00,87056
codeforamerica/cmr-maryland-eligibility-determination,cmr-maryland-eligibility-determination,Maryland Eligibility Determination,1,49,Python=39611,Python,2025-03-04T21:42:06+00:00,2026-01-27T21:40:07+00:00,,,False,,False,False,False,True,False,False,25,1,5,0,False,,False,,False,,0,2025-03-04T21:40:06+00:00,2026-01-27T21:40:12+00:00,2026-01-27T21:40:08+00:00,53
