full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
DemocracyClub/UK-Polling-Stations,UK-Polling-Stations,:earth_africa: A website to help people find their UK polling station,33,8717,Python=1742259;HTML=104774;Shell=18466;SCSS=5442;JavaScript=5065;Procfile=49,Python,2015-02-21T00:25:07+00:00,2026-04-16T11:26:54+00:00,MIT,MIT License,True,,True,True,False,True,True,True,75,36,6,29,True,file:cdk.json;file:appspec.yml;file:Procfile;file:.buildpacks;dependency:boto3;dependency:aws-cdk,False,,True,Dependabot Updates,0,2015-02-27T21:28:04+00:00,2026-04-16T13:15:58+00:00,2026-04-19T13:20:18+00:00,174380
DemocracyClub/WhoCanIVoteFor,WhoCanIVoteFor,🗳 The source for https://whocanivotefor.co.uk/,29,3431,Python=862120;HTML=317083;Shell=8513;SCSS=3690;Makefile=2041;JavaScript=107,Python,2016-03-08T11:39:54+00:00,2026-04-18T09:43:15+00:00,,,False,election;candidate;democracy;civic-tech,False,True,False,True,True,True,50,43,9,35,True,file:appspec.yml;dependency:boto3,False,,True,Dependabot Updates,0,2016-03-08T11:39:54+00:00,2026-04-18T09:44:12+00:00,2026-04-18T11:47:05+00:00,232283
fvialibre/edia,edia,EDIA: Stereotypes and Discrimination in Artificial Intelligence,3,81,Jupyter Notebook=961012;Python=118633;Shell=990,Jupyter Notebook,2022-10-24T19:11:49+00:00,2023-09-08T07:14:16+00:00,MIT,MIT License,True,,False,False,False,True,False,False,42,6,2,0,False,,True,language:Jupyter Notebook;dependency:torch;dependency:scikit-learn;dependency:transformers,False,,0,2022-10-24T19:04:16+00:00,2024-10-08T21:44:30+00:00,2026-01-26T03:54:56+00:00,2111
luftdata/luftdata.se,luftdata.se,This is the repository from which the website luftdata.se is built using Jekyll. Feel free to create issues for comments and suggestions.,4,206,SCSS=111999;HTML=45602;JavaScript=3741,SCSS,2018-01-31T12:46:29+00:00,2025-04-11T12:21:53+00:00,,,False,,False,False,False,True,False,False,25,3,2,4,False,,False,,True,pages-build-deployment,123,2018-01-27T21:10:38+00:00,2025-04-11T12:22:03+00:00,2025-04-11T12:22:00+00:00,22595
CodeForAfrica/PromiseTracker,PromiseTracker,Promise Tracker is a tool designed to help journalists and civil society watchdogs track campaign/promises/pledges by government officials. Accessible at https://promisetracker.dev.codeforafrica.org/,4,430,TypeScript=865790;JavaScript=7244;Shell=3382;Dockerfile=2346;SCSS=197,TypeScript,2025-08-12T11:13:07+00:00,2026-04-07T08:22:06+00:00,,,False,promise-tracker;africa;politicians;promises;elections;tracker;trello;graphql;reactjs;politics;development;economics;pesacheck;fact-checking;misinfo;disinfo;misinformation;disinformation;kenya,False,False,False,True,False,True,37,1,3,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,True,dependency:openai,True,Claude Code Review;Claude Code;Promise Tracker | Deploy | Dev;Dependabot Updates;CodeQL,2187,2019-09-10T08:46:27+00:00,2026-04-07T08:22:11+00:00,2026-04-07T08:22:08+00:00,28706
CodeForAfrica/academy.AFRICA,academy.AFRICA,Learn digital and data skills for social impact,3,702,PHP=625027;SCSS=232260;CSS=80833;JavaScript=21611;Shell=1198;Dockerfile=698,PHP,2023-10-12T14:05:56+00:00,2026-03-18T07:53:13+00:00,,,False,civic-tech;mooc;wordpress,False,False,False,True,False,True,37,0,1,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Deploy to WP Engine;Dependabot Updates,0,2023-10-11T11:40:50+00:00,2026-03-18T07:53:29+00:00,2026-03-18T07:53:25+00:00,5499
CodeForAfrica/Dominion.AFRICA,Dominion.AFRICA,Dominion gives journalist and civic activists useful facts and data about land ownership in Africa. Accessible at https://dominion.africa,7,574,JavaScript=208019;Dockerfile=1464,JavaScript,2019-07-17T14:10:48+00:00,2025-09-17T08:44:36+00:00,GPL-3.0,GNU General Public License v3.0,False,africa;dominion;land-ownership;journalist;civic-activists;single-page-app;reactjs;land-data;data-driven-journalism;nextjs,False,False,False,True,False,True,50,2,9,0,True,language:Dockerfile;file:Dockerfile,False,,True,main;CodeQL,231,2019-07-17T14:10:47+00:00,2025-09-17T08:44:41+00:00,2025-09-17T08:44:38+00:00,28809
CodeForAfrica/GenderGap.AFRICA,GenderGap.AFRICA,GenderGap.AFRICA is a tool designed to help users calculate the gender pay gap in any African country. Accessible at https://gendergap.africa/,11,254,JavaScript=48496;HTML=34497;SCSS=34337,JavaScript,2017-03-21T14:49:03+00:00,2025-09-01T23:22:13+00:00,GPL-3.0,GNU General Public License v3.0,False,gender-equality;gender-gap;equal-pay;africa;storylab;calculator;kenya;nigeria;tanzania;south-africa,False,False,False,True,True,True,50,9,17,4,False,,False,,True,CodeQL;pages-build-deployment,126,2017-03-21T14:49:03+00:00,2025-09-01T23:22:46+00:00,2025-09-01T23:53:36+00:00,3267
CodeForAfrica/openAFRICA,openAFRICA,openAFRICA aims to be largest independent repository of open data on the African continent. This repo contains the primary deployment scripts and files. Accessible at https://open.africa,6,154,Dockerfile=6239;Shell=4112;Makefile=1946;Procfile=265,Dockerfile,2017-08-30T14:06:00+00:00,2025-10-16T10:27:31+00:00,GPL-3.0,GNU General Public License v3.0,False,ckan;openafrica;open-africa;dokku;docker;deployment;data-portal;ckanext-openafrica;docker-image;open-data;ckanext-socialite;redis;solr;rabbitmq;africa;kenya;south-africa;nigeria;tanzania,True,True,False,True,True,True,75,32,16,11,True,topic:docker;language:Dockerfile;file:Dockerfile;file:docker-compose.yml;file:Procfile,False,,False,,0,2017-08-30T14:06:00+00:00,2025-12-28T20:43:40+00:00,2025-10-16T10:27:31+00:00,162
CodeForAfrica/outbreak.AFRICA,outbreak.AFRICA,Coronavirus Disease 2019 Edition,11,1352,JavaScript=407281;Dockerfile=1765;Procfile=32,JavaScript,2020-03-19T05:12:00+00:00,2025-10-10T09:11:50+00:00,GPL-3.0,GNU General Public License v3.0,False,,False,False,False,True,False,True,50,1,7,3,True,language:Dockerfile;file:Dockerfile;file:Procfile,False,,True,main;CodeQL,950,2020-03-19T05:11:52+00:00,2025-10-10T09:11:55+00:00,2025-10-10T09:11:52+00:00,28731
