full_name,name,description,num_developers,total_commits,languages,primary_language,first_commit_date,last_commit_date,license_spdx,license_name,is_osi_approved,topics,has_contributing,has_code_of_conduct,has_governance,has_readme,has_issue_template,has_pr_template,health_percentage,stars,watchers,forks,cloud_detected,cloud_signals,ai_ml_detected,ai_ml_signals,has_ci_cd,ci_cd_workflows,deployments_count,created_at,updated_at,pushed_at,size_kb
CitizensFoundation/your-priorities-app,your-priorities-app,"Your Priorities is a citizen engagement platform, a progressive web app, and a participatory social network that empowers groups of any size to speak with one voice and organize around ideas.",4,8018,HTML=16129719;JavaScript=12305019;TypeScript=6845675;Python=61822;CSS=61233;SCSS=59971;EJS=36931;Dockerfile=11016;PHP=8881;Pug=5636;C#=3748;Shell=2226;HLSL=913;Makefile=852;Procfile=164;ASP.NET=113,HTML,2014-08-22T18:50:38+00:00,2026-05-06T10:26:22+00:00,MIT,MIT License,True,,False,False,False,True,False,False,37,142,10,38,True,language:Dockerfile,False,,True,Dependabot Updates,0,2014-08-22T18:50:31+00:00,2026-05-06T10:26:27+00:00,2026-05-06T10:28:34+00:00,283064
CodeForAfrica/Dominion.AFRICA,Dominion.AFRICA,Dominion gives journalist and civic activists useful facts and data about land ownership in Africa. Accessible at https://dominion.africa,7,574,JavaScript=208019;Dockerfile=1464,JavaScript,2019-07-17T14:10:48+00:00,2025-09-17T08:44:36+00:00,GPL-3.0,GNU General Public License v3.0,False,africa;dominion;land-ownership;journalist;civic-activists;single-page-app;reactjs;land-data;data-driven-journalism;nextjs,False,False,False,True,False,True,50,2,9,0,True,language:Dockerfile;file:Dockerfile,False,,True,main;CodeQL,231,2019-07-17T14:10:47+00:00,2025-09-17T08:44:41+00:00,2025-09-17T08:44:38+00:00,28809
CodeForAfrica/GenderGap.AFRICA,GenderGap.AFRICA,GenderGap.AFRICA is a tool designed to help users calculate the gender pay gap in any African country. Accessible at https://gendergap.africa/,11,254,JavaScript=48496;HTML=34497;SCSS=34337,JavaScript,2017-03-21T14:49:03+00:00,2025-09-01T23:22:13+00:00,GPL-3.0,GNU General Public License v3.0,False,gender-equality;gender-gap;equal-pay;africa;storylab;calculator;kenya;nigeria;tanzania;south-africa,False,False,False,True,True,True,50,9,17,4,False,,False,,True,CodeQL;pages-build-deployment,126,2017-03-21T14:49:03+00:00,2025-09-01T23:22:46+00:00,2025-09-01T23:53:36+00:00,3267
CodeForAfrica/PromiseTracker,PromiseTracker,Promise Tracker is a tool designed to help journalists and civil society watchdogs track campaign/promises/pledges by government officials. Accessible at https://promisetracker.dev.codeforafrica.org/,4,430,TypeScript=865790;JavaScript=7244;Shell=3382;Dockerfile=2346;SCSS=197,TypeScript,2025-08-12T11:13:07+00:00,2026-04-07T08:22:06+00:00,,,False,promise-tracker;africa;politicians;promises;elections;tracker;trello;graphql;reactjs;politics;development;economics;pesacheck;fact-checking;misinfo;disinfo;misinformation;disinformation;kenya,False,False,False,True,False,True,37,1,3,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,True,dependency:openai,True,Claude Code Review;Claude Code;Promise Tracker | Deploy | Dev;Dependabot Updates;CodeQL,2198,2019-09-10T08:46:27+00:00,2026-04-07T08:22:11+00:00,2026-04-30T20:13:46+00:00,28774
CodeForAfrica/academy.AFRICA,academy.AFRICA,Learn digital and data skills for social impact,3,702,PHP=625027;SCSS=232260;CSS=80833;JavaScript=21611;Shell=1198;Dockerfile=698,PHP,2023-10-12T14:05:56+00:00,2026-03-18T07:53:13+00:00,,,False,civic-tech;mooc;wordpress,False,False,False,True,False,True,37,0,1,0,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Deploy to WP Engine;Dependabot Updates,0,2023-10-11T11:40:50+00:00,2026-03-18T07:53:29+00:00,2026-03-18T07:53:25+00:00,5499
CodeForAfrica/actNOW,actNOW,A public engagement toolkit that enables a media house or civil society organisation to easily set up channels for engagement.,5,2111,Python=107261;HTML=4846;Dockerfile=3334;Shell=934;Makefile=609,Python,2021-04-19T13:49:32+00:00,2026-05-04T05:05:52+00:00,GPL-3.0,GNU General Public License v3.0,False,,False,False,False,True,False,True,50,4,5,1,True,language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,Dokku CD;CI;Dependabot Updates;Dependency Graph;CodeQL,0,2021-04-19T13:49:31+00:00,2026-05-04T05:05:57+00:00,2026-05-04T09:34:38+00:00,1666
CodeForAfrica/openAFRICA,openAFRICA,openAFRICA aims to be largest independent repository of open data on the African continent. This repo contains the primary deployment scripts and files. Accessible at https://open.africa,6,154,Dockerfile=6239;Shell=4112;Makefile=1946;Procfile=265,Dockerfile,2017-08-30T14:06:00+00:00,2025-10-16T10:27:31+00:00,GPL-3.0,GNU General Public License v3.0,False,ckan;openafrica;open-africa;dokku;docker;deployment;data-portal;ckanext-openafrica;docker-image;open-data;ckanext-socialite;redis;solr;rabbitmq;africa;kenya;south-africa;nigeria;tanzania,True,True,False,True,True,True,75,32,16,11,True,topic:docker;language:Dockerfile;file:Dockerfile;file:docker-compose.yml;file:Procfile,False,,False,,0,2017-08-30T14:06:00+00:00,2025-12-28T20:43:40+00:00,2025-10-16T10:27:31+00:00,162
CodeForAfrica/outbreak.AFRICA,outbreak.AFRICA,Coronavirus Disease 2019 Edition,11,1352,JavaScript=407281;Dockerfile=1765;Procfile=32,JavaScript,2020-03-19T05:12:00+00:00,2025-10-10T09:11:50+00:00,GPL-3.0,GNU General Public License v3.0,False,,False,False,False,True,False,True,50,1,7,3,True,language:Dockerfile;file:Dockerfile;file:Procfile,False,,True,main;CodeQL,950,2020-03-19T05:11:52+00:00,2025-10-10T09:11:55+00:00,2025-10-10T09:11:52+00:00,28731
CodeForAfrica/sensors.AFRICA,sensors.AFRICA,"sensors.AFRICA is a citizen-science focused project by Code for Africa that seeks to address data gaps by providing low cost sensors, which people can use to measure and monitor the quality of the air, water, and sound in their communities.",19,1272,JavaScript=292251;Dockerfile=3052;CSS=2273,JavaScript,2018-03-23T08:27:36+00:00,2026-04-24T06:30:35+00:00,GPL-3.0,GNU General Public License v3.0,False,sensors-africa;sensors;sensor-data-collection;air-quality;air-quality-sensor;air-quality-measurements;africa;nairobi;kenya;dar-es-salaam;tanzania;lagos;nigeria;abuja;kampala;uganda,True,False,False,True,True,True,62,23,8,10,True,language:Dockerfile;file:Dockerfile,False,,True,main;Dependabot Updates;CodeQL,427,2018-05-16T15:21:48+00:00,2026-04-24T06:30:41+00:00,2026-04-24T06:30:38+00:00,23512
CodeForAfrica/ui,ui,,19,10966,JavaScript=6701325;TypeScript=449459;Dockerfile=47858;CSS=25180;MDX=19466;HTML=8143;HCL=4801;Shell=2689;Makefile=986;SCSS=483,JavaScript,2022-07-13T08:26:07+00:00,2026-04-29T08:12:21+00:00,MIT,MIT License,True,react;mui;nextjs;docker;monorepo;turborepo,False,False,False,True,False,True,37,2,4,2,True,topic:docker;language:HCL;language:Dockerfile;file:Dockerfile;file:docker-compose.yml,False,,True,CI;Release | PROD;charterAFRICA | Deploy | DEV;Code for Africa | Deploy | PROD;charterAFRICA | Deploy | PROD;Code for Africa | Deploy | REVIEW APP;CodeQL;Dependabot Updates;RoboShield | Deploy | DEV;Climate Mapped Africa | Deploy | DEV;RoboShield | Deploy | PROD;Code for Africa | Deploy | DEV;CivicSignal Blog | Deploy | PROD;Build Docker Image;Push to Dokku;Pesayetu | Deploy | DEV;TwoopsTracker | Deploy | Dev;VPN Manager | Deploy | DEV;Copilot coding agent;Claude Code;Bake and Push;Build Base Images;TechLab Blog;TrustLab;Apps PR Build;PR Build;TechLab Blog | Deploy | DEV;TrustLab | Deploy | DEV;TrustLab | Deploy | PROD,2801,2022-03-03T11:17:40+00:00,2026-04-29T08:12:43+00:00,2026-05-05T10:37:15+00:00,168851
